timestamp, x, y, width, 
0.000000, 733, 243, 1004, 
0.040000, 3118, 247, 1004, 
0.080000, 733, 243, 1004, 
0.120000, 733, 243, 1003, 
0.160000, 733, 243, 1003, 
0.200000, 1585, 279, 1003, 
0.240000, 1744, 312, 1003, 
0.280000, 2243, 416, 1003, 
0.320000, 1675, 298, 1003, 
0.360000, 1994, 364, 1003, 
0.400000, 1905, 346, 1003, 
0.440000, 2080, 382, 1003, 
0.480000, 1776, 319, 1003, 
0.520000, 2007, 355, 1003, 
0.560000, 2512, 460, 1003, 
0.600000, 2471, 451, 1003, 
0.640000, 2148, 384, 1003, 
0.680000, 2242, 404, 1003, 
0.720000, 1579, 265, 999, 
0.760000, 2115, 377, 999, 
0.800000, 1434, 235, 999, 
0.840000, 1695, 290, 999, 
0.880000, 1574, 264, 999, 
0.920000, 2280, 425, 999, 
0.960000, 1534, 269, 999, 
1.000000, 1815, 328, 999, 
1.040000, 1503, 263, 999, 
1.080000, 1479, 258, 999, 
1.120000, 2504, 469, 997, 
1.160000, 1605, 282, 997, 
1.200000, 1944, 353, 997, 
1.240000, 2320, 431, 997, 
1.280000, 2059, 377, 997, 
1.320000, 1693, 303, 999, 
1.360000, 2086, 385, 999, 
1.400000, 1955, 357, 999, 
1.440000, 1920, 350, 999, 
1.480000, 2472, 465, 999, 
1.520000, 1688, 302, 1001, 
1.560000, 2240, 417, 1001, 
1.600000, 1958, 358, 1001, 
1.640000, 2238, 416, 1001, 
1.680000, 1813, 328, 1001, 
1.720000, 2379, 445, 999, 
1.760000, 1678, 299, 999, 
1.800000, 1758, 316, 999, 
1.840000, 2282, 425, 999, 
1.880000, 2410, 452, 999, 
1.920000, 1496, 246, 997, 
1.960000, 2509, 457, 997, 
2.000000, 2021, 356, 997, 
2.040000, 1515, 250, 997, 
2.080000, 1637, 276, 997, 
2.120000, 2180, 391, 999, 
2.160000, 2441, 445, 999, 
2.200000, 1817, 315, 999, 
2.240000, 1489, 247, 999, 
2.280000, 1439, 236, 999, 
2.320000, 1877, 339, 996, 
2.360000, 1422, 245, 996, 
2.400000, 1624, 287, 996, 
2.440000, 2468, 462, 996, 
2.480000, 2389, 446, 996, 
2.520000, 2332, 434, 996, 
2.560000, 1659, 293, 996, 
2.600000, 1973, 359, 996, 
2.640000, 1784, 320, 996, 
2.680000, 2227, 412, 996, 
2.720000, 1942, 353, 992, 
2.760000, 2121, 390, 992, 
2.800000, 1964, 357, 992, 
2.840000, 1397, 239, 992, 
2.880000, 1856, 335, 992, 
2.920000, 2429, 451, 990, 
2.960000, 2428, 451, 990, 
3.000000, 2186, 401, 990, 
3.040000, 1683, 296, 990, 
3.080000, 2206, 405, 990, 
